,account_name,inv_horizon,inv_obj_least_imp,inv_obj_most_imp,inv_obj_some_imp,inv_obj_very_imp,investment_amt,liquidity_need,model_id,model_name,primary_fin_need,risk_profile,risk_tolerance,volatility
66,Jennifer Mckenzie,Immediate,3,2,0,4,266649,Less than 2 Years,67,Aggressive Income Strategy 67,Estate/Legacy Planning,4,2,19.73
67,Susan Goodwin,Less than 2 Years,1,2,3,4,389953,Less than 2 Years,68,Aggressive Income Strategy 68,Wealth Accumulation/Investment,4,2,22.18
68,Amanda Clark,2 to 5 Years,4,1,2,0,995853,Lump Sum,69,Income Strategy 69,Wealth Accumulation/Investment,1,0,19.29
69,Brittney Harrell,Immediate,0,3,2,1,499322,Less than 2 Years,70,Capital Appreciation Strategy 70,Health Care/Long Term Care,4,1,19.139999999999997
70,Christie Hamilton,2 to 5 Years,3,4,1,0,295104,Lump Sum,71,Speculation Strategy 71,Current Income,6,2,92.64
71,Tammy Bennett,Less than 2 Years,0,4,0,2,128823,Less than 2 Years,72,Speculation Strategy 72,Health Care/Long Term Care,6,1,16.74
72,Victoria Mueller,2 to 5 Years,0,1,3,2,247199,6 to 10 Years,73,Income Strategy 73,Education Planning,1,0,19.18
73,Kelli Boone,Less than 2 Years,1,3,4,2,922052,Over 20 Years,74,Capital Appreciation Strategy 74,Education Planning,4,1,25.44
74,Kelli Davis,2 to 5 Years,0,1,4,3,766087,Over 20 Years,75,Income Strategy 75,Major Purchase/Expense,2,1,20.93
75,Monica Lopez,2 to 5 Years,0,4,0,1,370610,Lump Sum,76,Speculation Strategy 76,Major Purchase/Expense,5,1,23.21
76,Brad Trevino,11 to 20 Years,0,2,0,1,998291,Over 20 Years,77,Aggressive Income Strategy 77,Education Planning,3,1,26.56
77,Daniel Smith,11 to 20 Years,0,2,4,0,442825,11 to 20 Years,78,Aggressive Income Strategy 78,Retirement,3,1,23.14
78,Mr. Javier Compton II,Immediate,0,2,1,0,959149,2 to 5 Years,79,Aggressive Income Strategy 79,Education Planning,3,1,24.04
79,Kyle Garcia,Less than 2 Years,0,1,0,2,723955,Over 20 Years,80,Income Strategy 80,Wealth Accumulation/Investment,1,0,26.21
80,Michelle Smith,2 to 5 Years,3,2,4,1,642618,Lump Sum,81,Aggressive Income Strategy 81,Education Planning,3,1,34.17
81,Laurie Taylor,Over 20 Years,0,4,0,0,840258,Lump Sum,82,Speculation Strategy 82,Wealth Accumulation/Investment,6,2,25.44
82,Christina Poole,6 to 10 Years,0,3,2,4,57531,2 to 5 Years,83,Capital Appreciation Strategy 83,Estate/Legacy Planning,5,1,21.959999999999997
83,Amanda Smith,6 to 10 Years,0,2,3,4,332168,Over 20 Years,84,Aggressive Income Strategy 84,Current Income,4,2,20.68
84,Christina Gordon,2 to 5 Years,2,4,0,3,360522,Over 20 Years,85,Speculation Strategy 85,Health Care/Long Term Care,6,1,28.38
85,Billy Mcguire,Less than 2 Years,0,2,3,1,235985,Over 20 Years,86,Aggressive Income Strategy 86,Health Care/Long Term Care,3,1,22.96
86,Madeline Hodge,11 to 20 Years,0,2,0,4,471378,6 to 10 Years,87,Aggressive Income Strategy 87,Wealth Accumulation/Investment,4,1,158.93
87,Cassandra Myers,6 to 10 Years,0,2,0,4,613629,Lump Sum,88,Aggressive Income Strategy 88,Current Income,4,2,30.740000000000002
88,Tiffany Cox,Immediate,0,2,4,1,62603,2 to 5 Years,89,Aggressive Income Strategy 89,Wealth Accumulation/Investment,3,1,22.29
89,Sherry Lopez,2 to 5 Years,4,3,2,1,887033,Lump Sum,90,Capital Appreciation Strategy 90,Current Income,5,2,15.97
90,Matthew Davis,11 to 20 Years,0,1,4,0,98012,Less than 2 Years,91,Income Strategy 91,Major Purchase/Expense,1,0,25.16
91,Sharon Alexander,Immediate,0,4,0,1,606568,Over 20 Years,92,Speculation Strategy 92,Charitable,6,2,23.11
92,James Bowen,Immediate,0,2,1,4,317733,11 to 20 Years,93,Aggressive Income Strategy 93,Major Purchase/Expense,4,2,21.81
93,Natasha Armstrong,6 to 10 Years,0,4,3,2,364891,Over 20 Years,94,Speculation Strategy 94,Estate/Legacy Planning,6,1,23.47
94,Rachel Cooke,Less than 2 Years,0,3,1,2,530230,11 to 20 Years,95,Capital Appreciation Strategy 95,Wealth Accumulation/Investment,4,1,25.41
95,Andrew Torres MD,Over 20 Years,0,3,0,2,427854,Less than 2 Years,96,Capital Appreciation Strategy 96,Major Purchase/Expense,4,1,21.3
96,Courtney Warren,2 to 5 Years,2,4,1,0,239631,2 to 5 Years,97,Speculation Strategy 97,Estate/Legacy Planning,6,2,26.83
97,Kim Brown,6 to 10 Years,2,1,0,3,524460,Less than 2 Years,98,Income Strategy 98,Charitable,2,0,18.56
98,Terry Daniels,11 to 20 Years,0,4,0,1,50996,11 to 20 Years,99,Speculation Strategy 99,Current Income,6,2,52.81
99,James Cooper,Over 20 Years,1,4,3,0,947467,11 to 20 Years,100,Speculation Strategy 100,Charitable,5,1,15.45
100,Christopher Nelson,Immediate,4,1,3,0,255433,2 to 5 Years,101,Income Strategy 101,Wealth Accumulation/Investment,1,1,16.580000000000002
101,Hector Wheeler,Over 20 Years,2,4,0,0,477504,6 to 10 Years,102,Speculation Strategy 102,Current Income,6,2,22.39
102,Donna Arias,6 to 10 Years,0,4,2,1,822877,11 to 20 Years,103,Speculation Strategy 103,Current Income,5,1,33.629999999999995
103,Maria Dickerson,Less than 2 Years,0,1,2,0,58461,2 to 5 Years,104,Income Strategy 104,Wealth Accumulation/Investment,1,0,34.050000000000004
104,Ricardo Hernandez,11 to 20 Years,2,1,4,0,677380,Less than 2 Years,105,Income Strategy 105,Estate/Legacy Planning,1,0,93.92
105,Sydney Shah,Immediate,1,4,0,0,405702,11 to 20 Years,106,Speculation Strategy 106,Wealth Accumulation/Investment,6,2,17.2
106,Bryan Sutton,6 to 10 Years,4,3,2,0,373211,Lump Sum,107,Capital Appreciation Strategy 107,Major Purchase/Expense,4,1,19.25
107,Philip Blankenship,2 to 5 Years,3,4,0,2,567920,Less than 2 Years,108,Speculation Strategy 108,Major Purchase/Expense,6,2,17.59
108,Michael Cruz,Less than 2 Years,0,1,0,3,222581,Lump Sum,109,Income Strategy 109,Education Planning,2,0,16.5
109,Daniel Smith,11 to 20 Years,0,1,4,2,389612,Lump Sum,110,Income Strategy 110,Health Care/Long Term Care,2,1,20.28
110,James Nguyen,Immediate,0,2,3,1,148386,Lump Sum,111,Aggressive Income Strategy 111,Estate/Legacy Planning,4,2,52.949999999999996
111,George Barnes,6 to 10 Years,2,1,4,3,551496,Over 20 Years,112,Income Strategy 112,Current Income,2,1,24.42
112,Charles Smith,2 to 5 Years,3,1,0,4,224934,Lump Sum,113,Income Strategy 113,Current Income,2,0,20.06
113,Danielle Wilson,11 to 20 Years,3,4,2,0,479020,Over 20 Years,114,Speculation Strategy 114,Wealth Accumulation/Investment,6,2,20.45
114,Traci Hunt,Immediate,0,4,1,3,866822,Lump Sum,115,Speculation Strategy 115,Health Care/Long Term Care,6,1,40.300000000000004
115,Chelsea Brown,Less than 2 Years,4,1,0,2,91225,Lump Sum,116,Income Strategy 116,Estate/Legacy Planning,1,0,29.45
116,Crystal Tucker,Immediate,0,3,4,1,474874,11 to 20 Years,117,Capital Appreciation Strategy 117,Retirement,4,1,21.72
117,Angela Hoover,Less than 2 Years,0,2,0,3,164403,Lump Sum,118,Aggressive Income Strategy 118,Estate/Legacy Planning,3,1,23.549999999999997
118,Joan Adkins,2 to 5 Years,2,4,0,3,821876,2 to 5 Years,119,Speculation Strategy 119,Health Care/Long Term Care,7,2,21.7
119,Heather Ramirez,Over 20 Years,3,2,4,0,308180,2 to 5 Years,120,Aggressive Income Strategy 120,Current Income,3,1,30.53
120,Nicholas Mitchell,11 to 20 Years,0,4,0,3,625587,Less than 2 Years,121,Speculation Strategy 121,Major Purchase/Expense,6,1,16.950000000000003
121,Adriana Vargas,6 to 10 Years,0,1,2,0,150574,Less than 2 Years,122,Income Strategy 122,Wealth Accumulation/Investment,1,0,23.01
122,Caitlin Gregory,Over 20 Years,0,3,1,4,481507,6 to 10 Years,123,Capital Appreciation Strategy 123,Current Income,5,1,20.7
123,Megan Werner,11 to 20 Years,0,1,4,3,895747,2 to 5 Years,124,Income Strategy 124,Wealth Accumulation/Investment,2,0,27.439999999999998
124,Richard Davis,2 to 5 Years,0,2,3,4,813577,Lump Sum,125,Aggressive Income Strategy 125,Wealth Accumulation/Investment,4,2,18.7
125,Joshua Taylor,Over 20 Years,0,1,4,2,745348,11 to 20 Years,126,Income Strategy 126,Current Income,2,1,31.14
126,Jamie Spencer,6 to 10 Years,4,2,0,3,889210,11 to 20 Years,127,Aggressive Income Strategy 127,Estate/Legacy Planning,3,1,11.790000000000001
127,Stephanie Short,Less than 2 Years,4,3,0,2,645684,Lump Sum,128,Capital Appreciation Strategy 128,Health Care/Long Term Care,4,1,23.1
128,Angela Mathews,Less than 2 Years,0,2,4,1,111143,Lump Sum,129,Aggressive Income Strategy 129,Wealth Accumulation/Investment,3,1,21.97
129,Warren Martin,Over 20 Years,0,2,0,0,219515,6 to 10 Years,130,Aggressive Income Strategy 130,Health Care/Long Term Care,3,1,23.96
130,Melissa Orr,11 to 20 Years,3,4,2,1,88242,Over 20 Years,131,Speculation Strategy 131,Major Purchase/Expense,5,1,19.21
131,Ryan Martin,Less than 2 Years,3,4,0,2,528415,11 to 20 Years,132,Speculation Strategy 132,Major Purchase/Expense,6,1,17.65
132,Kelli Brady,6 to 10 Years,0,4,1,0,147271,6 to 10 Years,133,Speculation Strategy 133,Education Planning,5,1,21.4
133,Christopher Barrett,11 to 20 Years,0,4,2,3,46488,11 to 20 Years,134,Speculation Strategy 134,Current Income,6,1,22.31
134,Cheryl King,11 to 20 Years,1,4,0,3,787563,Lump Sum,135,Speculation Strategy 135,Charitable,7,2,14.2
135,Grace Warren,Less than 2 Years,0,3,2,0,903610,2 to 5 Years,136,Capital Appreciation Strategy 136,Health Care/Long Term Care,4,1,44.11
136,Robin Crawford,Less than 2 Years,4,2,3,0,901271,2 to 5 Years,137,Aggressive Income Strategy 137,Health Care/Long Term Care,3,1,27.73
137,Mary Wright,Over 20 Years,0,2,0,1,26650,Lump Sum,138,Aggressive Income Strategy 138,Education Planning,4,2,17.52
138,William Young,Over 20 Years,4,2,0,1,544045,Less than 2 Years,139,Aggressive Income Strategy 139,Education Planning,4,2,59.62
139,Marissa Thomas,2 to 5 Years,1,2,0,3,779925,6 to 10 Years,140,Aggressive Income Strategy 140,Education Planning,3,1,28.970000000000002
140,Brent Moore,Over 20 Years,4,2,1,3,970939,Lump Sum,141,Aggressive Income Strategy 141,Charitable,3,1,23.41
141,April Ellis,Immediate,0,4,1,3,849722,2 to 5 Years,142,Speculation Strategy 142,Current Income,6,1,18.59
142,Paula Lee,Over 20 Years,0,4,0,2,255523,Over 20 Years,143,Speculation Strategy 143,Education Planning,6,1,18.13
143,Dr. Kathleen Collins,Over 20 Years,3,2,0,0,149461,Over 20 Years,144,Aggressive Income Strategy 144,Charitable,3,2,25.22
144,Julia Warren,Over 20 Years,0,3,2,4,248580,Less than 2 Years,145,Capital Appreciation Strategy 145,Wealth Accumulation/Investment,6,2,21.11
145,Makayla Rivera,Less than 2 Years,4,3,0,2,963198,Less than 2 Years,146,Capital Appreciation Strategy 146,Education Planning,5,2,23.02
146,Sherry Sanchez,6 to 10 Years,0,2,4,1,985358,Less than 2 Years,147,Aggressive Income Strategy 147,Health Care/Long Term Care,4,2,28.27
147,Debbie Washington,Immediate,1,3,0,4,456916,2 to 5 Years,148,Capital Appreciation Strategy 148,Wealth Accumulation/Investment,6,2,21.5
148,Charles Collins,6 to 10 Years,0,1,0,3,581192,Less than 2 Years,149,Income Strategy 149,Estate/Legacy Planning,2,0,18.83
149,Douglas Hodge,Less than 2 Years,3,4,0,1,523462,11 to 20 Years,150,Speculation Strategy 150,Health Care/Long Term Care,6,2,41.64
150,Krista Freeman,6 to 10 Years,0,1,4,3,597054,Less than 2 Years,151,Income Strategy 151,Major Purchase/Expense,2,1,26.8
151,Ruth Allen,11 to 20 Years,3,1,4,2,931541,6 to 10 Years,152,Income Strategy 152,Retirement,1,0,16.5
152,Mark Roberts,6 to 10 Years,2,1,0,4,907773,Less than 2 Years,153,Income Strategy 153,Charitable,2,0,33.29
153,Amber Harris,Over 20 Years,0,3,4,2,970355,Less than 2 Years,154,Capital Appreciation Strategy 154,Health Care/Long Term Care,4,1,29.349999999999998
154,Ricardo Gray MD,2 to 5 Years,0,4,1,2,303989,Lump Sum,155,Speculation Strategy 155,Wealth Accumulation/Investment,6,2,16.53
155,Taylor Jones,Less than 2 Years,3,4,1,0,713052,Less than 2 Years,156,Speculation Strategy 156,Education Planning,5,1,19.2
156,Taylor Wood,Over 20 Years,0,3,4,1,385066,11 to 20 Years,157,Capital Appreciation Strategy 157,Charitable,5,2,23.18
157,Daniel Briggs,6 to 10 Years,0,3,1,2,878766,11 to 20 Years,158,Capital Appreciation Strategy 158,Major Purchase/Expense,4,1,54.52
158,Ryan Dixon,Less than 2 Years,0,4,1,0,221123,Lump Sum,159,Speculation Strategy 159,Major Purchase/Expense,5,1,22.59
159,Jessica Walker,6 to 10 Years,3,1,0,0,865669,6 to 10 Years,160,Income Strategy 160,Charitable,1,0,17.75
160,John Ward,2 to 5 Years,4,1,3,2,843296,11 to 20 Years,161,Income Strategy 161,Education Planning,2,1,18.27
161,Stacy Fry,2 to 5 Years,2,3,0,0,886530,Less than 2 Years,162,Capital Appreciation Strategy 162,Estate/Legacy Planning,4,1,22.58
162,Gregory Whitney,Over 20 Years,1,2,4,0,715766,11 to 20 Years,163,Aggressive Income Strategy 163,Retirement,3,1,16.1
163,Jessica Collins,Over 20 Years,1,4,3,2,782756,Over 20 Years,164,Speculation Strategy 164,Current Income,6,1,18.64
164,Travis Hays,6 to 10 Years,0,3,0,1,728136,Over 20 Years,165,Capital Appreciation Strategy 165,Retirement,4,1,16.77
165,Michelle Jones,11 to 20 Years,0,3,4,1,883912,Over 20 Years,166,Capital Appreciation Strategy 166,Estate/Legacy Planning,4,1,33.03
166,David Long,Over 20 Years,0,4,2,1,118589,Less than 2 Years,167,Speculation Strategy 167,Charitable,5,1,22.45
167,Jasmine Harrell MD,2 to 5 Years,4,1,0,2,715765,Over 20 Years,168,Income Strategy 168,Estate/Legacy Planning,1,0,21.19
168,Angela Fisher,Less than 2 Years,0,2,3,4,668740,Lump Sum,169,Aggressive Income Strategy 169,Current Income,4,2,33.2
169,Brian Fowler Jr.,6 to 10 Years,0,4,3,2,881742,2 to 5 Years,170,Speculation Strategy 170,Health Care/Long Term Care,6,2,26.52
170,Maureen Anderson,Over 20 Years,2,3,0,4,616549,Lump Sum,171,Capital Appreciation Strategy 171,Major Purchase/Expense,5,1,15.959999999999999
171,Sara Lee,2 to 5 Years,2,4,0,3,444029,Lump Sum,172,Speculation Strategy 172,Retirement,7,2,15.21
172,Daniel Hernandez,Immediate,4,2,0,3,688360,2 to 5 Years,173,Aggressive Income Strategy 173,Major Purchase/Expense,3,1,17.01
173,Thomas Cooper,11 to 20 Years,0,3,0,4,787249,2 to 5 Years,174,Capital Appreciation Strategy 174,Health Care/Long Term Care,6,2,18.360000000000003
174,Roberto Davis,Over 20 Years,0,4,0,3,144629,Over 20 Years,175,Speculation Strategy 175,Health Care/Long Term Care,6,1,19.21
175,Luis Torres,Less than 2 Years,1,2,0,4,674916,11 to 20 Years,176,Aggressive Income Strategy 176,Current Income,4,2,16.950000000000003
176,Lauren Tran,11 to 20 Years,0,3,0,2,842357,6 to 10 Years,177,Capital Appreciation Strategy 177,Charitable,5,2,26.06
177,Alex Fletcher,Less than 2 Years,3,1,2,4,675933,Over 20 Years,178,Income Strategy 178,Current Income,2,1,61.28
178,Bradley Walter,6 to 10 Years,0,4,2,0,294744,11 to 20 Years,179,Speculation Strategy 179,Wealth Accumulation/Investment,6,2,15.920000000000002
179,Heather Herman,2 to 5 Years,0,3,0,4,335714,Over 20 Years,180,Capital Appreciation Strategy 180,Retirement,5,1,20.48
180,Kathleen Morrison,2 to 5 Years,0,1,4,3,388450,Less than 2 Years,181,Income Strategy 181,Estate/Legacy Planning,2,1,16.0
181,Tina Bell,11 to 20 Years,0,2,0,4,385219,Over 20 Years,182,Aggressive Income Strategy 182,Major Purchase/Expense,4,1,18.85
182,Ian Wade,Immediate,0,4,0,2,85203,11 to 20 Years,183,Speculation Strategy 183,Major Purchase/Expense,6,1,28.050000000000004
183,Sharon Garcia,Immediate,3,4,1,2,104752,Less than 2 Years,184,Speculation Strategy 184,Major Purchase/Expense,6,1,16.8
184,James Long,2 to 5 Years,2,3,1,4,207630,11 to 20 Years,185,Capital Appreciation Strategy 185,Retirement,5,1,26.029999999999998
185,Mario Owens,2 to 5 Years,0,1,0,2,492316,2 to 5 Years,186,Income Strategy 186,Major Purchase/Expense,2,1,19.8
186,Anthony Moore,Less than 2 Years,3,4,0,1,74564,Over 20 Years,187,Speculation Strategy 187,Education Planning,6,2,24.060000000000002
187,Natasha Young,11 to 20 Years,0,4,3,1,995861,11 to 20 Years,188,Speculation Strategy 188,Current Income,5,1,25.669999999999998
188,Janet Mathews,6 to 10 Years,1,2,0,3,339924,11 to 20 Years,189,Aggressive Income Strategy 189,Health Care/Long Term Care,4,2,20.93
189,John Bullock,11 to 20 Years,0,1,0,2,637527,11 to 20 Years,190,Income Strategy 190,Wealth Accumulation/Investment,2,1,21.86
190,Carolyn Martinez,6 to 10 Years,2,3,4,1,766094,2 to 5 Years,191,Capital Appreciation Strategy 191,Estate/Legacy Planning,5,2,19.91
191,Chelsea Wilson,2 to 5 Years,3,1,0,2,956329,2 to 5 Years,192,Income Strategy 192,Retirement,1,0,23.23
192,Robert Castillo,Immediate,0,1,4,3,533108,Lump Sum,193,Income Strategy 193,Wealth Accumulation/Investment,2,0,17.96
193,Chelsea Collins,2 to 5 Years,0,3,0,2,558700,6 to 10 Years,194,Capital Appreciation Strategy 194,Retirement,5,2,18.89
194,James Houston,Over 20 Years,0,4,3,0,649577,Lump Sum,195,Speculation Strategy 195,Current Income,5,1,25.009999999999998
195,Amy Castillo,Less than 2 Years,1,2,3,0,206894,Lump Sum,196,Aggressive Income Strategy 196,Retirement,3,2,22.54
